laptop_names,laptop_ids,laptop_moneys,laptop_chips,laptop_memories,laptop_storages,laptop_video_cards
"Laptop Asus Vivobook E1404FA-NK186W R5 7520U/16GB/512GB/14"" FHD/Win11",(No.00872250),13.490.000,AMD Ryzen 5 7520U,16  LPDDR5 5500 MHz,SSD 512,AMD Radeon Graphics
"Laptop Lenovo IdeaPad 3 15ITL6 i5 1155G7/16GB/512GB/15.6""FHD/Win11",(No.00882555),13.490.000,Intel Core i5 1155G7,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Acer Swift 3 SF314-43-R4X3 R5 5500U/16GB/512GB SSD/Win11,(No.00783546),18.990.000,AMD Ryzen 5 5500U,16  LPDDR4X 4266 MHz,SSD 512,AMD Radeon Graphics
"Laptop Dell Inspiron 15 N3520 i5 1235U/8GB/256GB/15.6""FHD/Win 11/Office HS21",(No.00859702),15.490.000,Intel Core i5 1235U,8  (1 thanh 8 ) DDR4 2666 MHz,SSD 256,Intel Iris Xe Graphics
"Laptop MSI Modern 14 C7M-221VN R7 7730U/8GB/512GB/14"" FHD IPS/Win 11",(No.00895154),13.790.000,AMD Ryzen 7 7730U,8  DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
"Laptop Asus Vivobook Flip TN3402YA-LZ188W R5-7530U/16GB/512GB/14"" Touch/Win11",(No.00890480),17.090.000,AMD Ryzen 5 7530U,16,SSD 512,Intel UHD Graphics
"Laptop MSI Gaming GF63 Thin 11SC-664VN i5 11400H/8GB/512GB/15.6""FHD/GeForce GTX 1650 4GB/Win 11",(No.00859658),15.490.000,Intel Core i5 11400H,8  DDR4 3200 MHz,SSD 512,NVIDIA GeForce GTX 1650 4GB
"Laptop Lenovo IdeaPad 1 15AMN7 R5 7520U/8GB/512GB/15.6""FHD/Win 11",(No.00849513),12.990.000,AMD Ryzen 5 7520U,8  LPDDR5 5500 MHz,SSD 512,AMD Radeon Graphics
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14''FHD/AMD Radeon Graphics/Win11,(No.00874398),13.990.000,AMD Ryzen 5 7520U,16  LPDDR5 5500 MHz,SSD 512,AMD Radeon Graphics
"Laptop MSI Gaming Thin GF63 12VE-454VN i5 12450H/16GB/512GB/15.6"" FHD/GeForce RTX4050_6GB/Win 11",(No.00878325),21.490.000,Intel Core i5 12450H,16  DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11",(No.00898312),15.290.000,Intel Core i5 12450H,16  (2 thanh 8 ) DDR5 4800 MHz,SSD 512,Intel UHD Graphics
"Laptop Asus TUF Gaming FX506HC-HN144W i5 11400H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11",(No.00807493),21.490.000,Intel Core i5 11400H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics
"Laptop Acer Nitro 5 Gaming AN515-57-53F9 i5 11400H/8GB/512GB/15.6""FHD/RTX3050 4GB/Win11",(No.00888570),22.990.000,Intel Core i5 11400H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB
"Laptop Asus Vivobook X415EA-EK1387W i3 1115G4/8GB/256GB/14"" FHD/Win 11",(No.00802992),9.190.000,Intel Core i3 1115G4,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 256,Intel UHD Graphics
"Laptop HP Pavilion 14-dv2075TU i5 1235U/8GB/512GB SSD/14""FHD/Win11",(No.00857690),19.190.000,Intel Core i5 1235U,8  (2 thanh 4 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Acer Aspire 7 Gaming A715-76-57CY i5 12450H/8G/512G/15.6""FHD/Win11",(No.00881876),16.390.000,Intel Core i5 12450H,8  DDR4 3200 MHz,SSD 512,Intel UHD Graphics
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX 3050 4GB/Win1",(No.00883758),23.990.000,Intel Core i5 12500H,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics
"Laptop Acer Aspire 7 Gaming A715-43G-R09Q R5 5625U/16GB/512GB/15.6""FHD/NVIDIA RTX3050/Win11",(No.00888283),18.990.000,AMD Ryzen 5 5625U,16  DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB
"Laptop Asus TUF Gaming FX517ZC-HN077W i5 12450H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win 11",(No.00800822),22.490.000,Intel Core i5 12450H,8  (1 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics
"Laptop MSI Gaming GF63 Thin 11UC-1228VN i7-11800H/8GB/512GB/15.6""FHD/GeForce RTX3050_4GB/Win11",(No.00859660),18.890.000,Intel Core i7 11800H,8  DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB
"Laptop MSI Modern 15 B7M-099VN R5 7530U/8GB/512GB/15.6""FHD/Win 11",(No.00866561),11.390.000,AMD Ryzen 5 7530U,8  DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
"Laptop MSI Modern 14 C7M-220VN R5 7530U/8GB/512GB/14""FHD/Win 11",(No.00895155),11.490.000,AMD Ryzen 5 7530U,8  DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
Laptop Asus TUF Gaming FX506HE-HN377W i7 11800H/8GB/512GB/15.6”/Nvidia RTX 3050Ti 4GB/Win11,(No.00898376),19.990.000,Intel Core i7 11800H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 Ti 4 GB
"Laptop HP 15s fq2711TU i3 1115G4/8GB/256GB/15.6""FHD/Win 11",(No.00851498),11.690.000,Intel Core i3 1115G4,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 256,Intel UHD Graphics
"Laptop Lenovo Ideapad 3 15ITL6 i5 1155G7/8GB/256GB/15.6""FHD/Win 11",(No.00872340),13.190.000,Intel Core i5 1155G7,8  DDR4 3200 MHz,SSD 256,Intel Iris Xe Graphics
"Laptop MSI Modern 15 B7M-098VN R7 7730U/8GB/512GB/15.6""FHD/Win 11",(No.00866562),14.590.000,AMD Ryzen 7 7730U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
"Laptop Asus Vivobook X515EA-EJ322W i3 1115G4/8GB/512GB/15.6"" FHD/Win 11",(No.00861530),9.790.000,Intel Core i3 1115G4,8  (2 thanh 4 ) DDR4,SSD 512,Intel UHD Graphics
"Laptop Lenovo Ideapad Gaming 3 15ARH7 R5 7535HS/8GB/512GB/15.6""FHD/Nvidia RTX 4050 6GB/Win11",(No.00892738),21.990.000,AMD Ryzen 5 7535HS,8  (1 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 4050 6GB GDDR6
Laptop Acer Nitro 5 Tiger Gaming AN515-58-52SP i5 12500H/8GB/512GB SSD/GeForce RTX 3050 4GB/Win11,(No.00798025),26.490.000,Intel Core i5 12500H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics
"Laptop Huawei MateBook D15 R7 5700U/8GB/512GB/15.6""FHD/Win11",(No.00888035),12.790.000,AMD Ryzen 7 5700U,8  (1 thanh 8 ) DDR4,SSD 512,AMD Radeon Graphics
Laptop Acer Nitro Gaming AN515-57-5669 i5 11400H/8GB/512GB SSD/GeForce GTX 1650 4GB/Win11,(No.00789041),21.490.000,Intel Core i5 11400H,8  DDR4 3200 MHz,SSD 512,NVIDIA GeForce GTX 1650 4GB; Intel UHD Graphics
Laptop Asus Vivobook M3504YA-L1268W R5 7530U/16GB/512GB/15.6''OLED/Win11,(No.00895027),18.490.000,AMD Ryzen 5 7530U,16  (2 thanh 8 ),SSD 512,Intel Iris Xe Graphics
"Laptop Asus Vivobook  A1503ZA-L1139W i5 12500H/8GB/512GB/15.6""FHD/Win 11",(No.00825034),20.490.000,Intel Core i5 12500H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel UHD Graphics
Laptop CHUWI GemiBook Celeron J4125/8GB/256GB/13''IPS/Win 10,(No.00884712),4.690.000,Intel Celeron J4125,8,SSD 256,Intel HD Graphics
"Laptop Asus Vivobook X1502ZA-BQ126W i5 1240P/8GB/512GB/15.6""FHD/Iris Xe Graphics/Win 11",(No.00813509),17.490.000,Intel Core i5 1240P,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Acer Aspire 3 A315-57G-573F i5 1035G1/8GB/512GB SSD/GeForce MX330 2GB/Win11,(No.00793778),12.990.000,Intel Core i5 1035G1,8  (2 thanh 4 ) DDR4 2400 MHz,SSD 512,NVIDIA GeForce MX330 2GB; Intel UHD Graphics
Laptop Asus Vivobook X515EA-EJ4111W i5 1135G7/16GB/512GB/15.6”FHD/Win11,(No.00892869),13.990.000,Intel Core i5 1135G7,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel UHD Graphics
"Laptop Lenovo Ideapad 3 15IAU7 i7 1255U/16GB/512GB/15.6""FHD/Win 11",(No.00899872),16.290.000,Intel Core i7 1255U,16  DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H/16GB/512GB/15.6''FHD/Win11,(No.00870695),20.490.000,Intel Core i5 13500H,16  DDR4 3200 MHz,SSD 512,Intel UHD Graphics
"Laptop Lenovo Ideapad Slim 5 Light 14ABR8 R7 7730U/16GB/512GB/14.0""FHD/Win11",(No.00881885),19.490.000,AMD Ryzen 7 7730U,16  DDR4 3200 MHz,SSD 512,AMD Radeon Graphics
"Laptop Asus Vivobook A1405VA-KM059W i5 13500H/8GB/512GB/14"" OLED WQXGA+/Win11",(No.00866320),19.990.000,Intel Core i5 13500H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel UHD Graphics
Laptop HP Gaming Victus 16-e1104AX R7 6800H/8GB/512GB/16.1''FHD/Nvidia RTX 3050 4GB/Win11,(No.00888669),26.290.000,AMD Ryzen 7 6800H,8  (1 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB
Laptop Asus TUF Gaming FA507NV-LP046W R7 7735HS/8GB/512GB/GeForce RTX 4060 8GB/Win11,(No.00879626),33.490.000,AMD Ryzen 7 7735HS,8  DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 4060 8GB; AMD Radeon Graphics
"Laptop HP 245 G10 R5 7520U/8GB/256GB/14""FHD/Win11",(No.00900029),10.990.000,AMD Ryzen 5 7520U,8,SSD 256,AMD Radeon Graphics
"Laptop Acer Aspire 3 A315-59-31BT i3 1215U/8GB/256GB/15.6""FHD/Win11",(No.00888223),8.690.000,Intel Core i3 1215U,8  DDR4 3200 MHz,SSD 256,Intel UHD Graphics
"Laptop Lenovo Ideapad 3 15IAU7 i5 1235U/8GB/512GB/15.6""FHD/Win 11",(No.00858329),16.990.000,Intel Core i5 1235U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Acer Swift 3 SF314-511-55QE i5 1135G7/16GB/512GB SSD/Win11,(No.00793771),20.990.000,Intel Core i5 1135G7,16  LPDDR4X 4266 MHz,SSD 512,Intel Iris Xe Graphics
Laptop HP 14s-dq2644TU i3 1115G4/8GB/256GB/14''FHD/Win11,(No.00883757),11.890.000,Intel Core i3 1115G4,8  (1 thanh 8 ),SSD 256,Intel UHD Graphics
"Laptop HP 15s fq5160TU i5 1235U/16GB/512GB/15.6""FHD/Win 11",(No.00851505),19.490.000,Intel Core i5 1235U,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Asus Vivobook E1504FA-NJ426W R3 7320U/8GB/256GB/15.6"" FHD/Win11",(No.00881861),8.990.000,AMD Ryzen 3 7320U,8  LPDDR5 5500 MHz,SSD 256,Intel UHD Graphics
"Laptop Asus Zenbook UX3402ZA-KM218W i5 1240P/8GB/512GB/14.0""OLED WQXGA/Win 11",(No.00820196),24.990.000,Intel Core i5 1240P,8  DDR5 4800 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Acer Nitro Gaming AN515-58-769J i7 12700H/8GB/512GB/15.6""FHD/GeForce RTX 3050 4GB/Win11",(No.00834736),29.490.000,Intel Core i7 12700H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB
"Laptop HP 15s fq2712TU i3 1115G4/8GB/256GB/15.6""FHD/Win 11",(No.00851499),11.690.000,Intel Core i3 1115G4,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 256,Intel UHD Graphics
"Laptop Lenovo IdeaPad Slim 5 16IAH8 i5 12450H/16GB/512GB/16""WUXGA/Win11",(No.00884149),16.990.000,Intel Core i5 12450H,16  (2 thanh 8 ) DDR5 4800 MHz,SSD 512,Intel UHD Graphics
"Laptop MSI Gaming Alpha 15 B5EEK-203VN R5 5600H/8GB/512GB/15.6""FHD/RX6600M 8GB/Win 11_Balo",(No.00879611),17.990.000,AMD Ryzen 5 5600H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,AMD Radeon RX 6600M 8GB; AMD Radeon Graphics Vega 6
"Laptop Gigabyte Gaming A5 K1-AVN1030SB R5 5600H/8GB/512GB/15.6""FHD/Nvidia RTX 3060 6GB/Win11",(No.00882605),19.290.000,AMD Ryzen 5 5600H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3060 6GB; AMD Radeon RX Graphics Vega 7
"Laptop Acer Aspire 3 A315-58-54M5 i5 1135G7/8GB/512GB/15.6""FHD/Win 11",(No.00819389),13.990.000,Intel Core i5 1135G7,8  (2 thanh 4 ) DDR4 2400 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Huawei MateBook D14 BE i3 1215U/8GB/256GB/14""FHD+/Win11",(No.00888042),10.790.000,Intel Core i3 1215U,8  DDR4,SSD 256,Intel UHD Graphics
"Laptop Lenovo Gaming Legion 5 15ARH7H R5 6600H/16GB/512GB/15.6""WQHD/NVIDIA RTX 3060 6GB/Win11",(No.00882557),40.490.000,AMD Ryzen 5 6600H,16  (2 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 3060 6GB
"Laptop Acer Aspire 3 A314-23M-R4TX R5 7520U/8GB/512GB/14""FHD/Win11",(No.00888224),11.990.000,AMD Ryzen 5 7520U,8,SSD 512,AMD Radeon Graphics
"Laptop Dell Inspiron 16 N5620 i5 1240P/16GB/512GB/16.0""FHD/GeForce MX570 2GB/Win 11/Office HS21",(No.00824411),22.290.000,Intel Core i5 1240P,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Acer Nitro Gaming AN515-57-54MV i5 11400H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 4GB/Win11",(No.00775122),23.490.000,Intel Core i5 11400H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics
"Laptop Lenovo Gaming Legion 5 15IAH7 i5 12500H/16GB/512GB/15.6""FHD/Nvidia RTX 3050 4GB/Win 11",(No.00895159),31.590.000,Intel Core i5 12500H,16  (2 thanh 8 ) DDR5 4800 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics
Laptop Acer Aspire 5 A514-54-5127 i5 1135G7/8GB/512GB SSD/14.0''FHD/Win11,(No.00797334),13.090.000,Intel Core i5 1135G7,8  DDR4 2666 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Asus TUF Gaming FX706HC-HX579W i5 11400H/8GB/512GB/GeForce RTX 3050 4GB/17.3""FHD/Win 11",(No.00832136),24.490.000,Intel Core i5 11400H,8  DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics
"Laptop Lenovo ThinkBook 14 G4 IAP i5 1235U/8GB/512GB/14.0""FHD/Win11",(No.00887601),16.990.000,Intel Core i5 1235U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Asus TUF Gaming FX507ZV4-LP041W i7 12700H/8GB/512GB/15.6''/Nvidia RTX 4060 8GB/Win11,(No.00888800),33.990.000,Intel Core i7 12700H,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 4060 8GB; Intel Iris Xe Graphics
"Laptop Asus Vivobook Pro K3405VC-KM070W i9 13900H/16GB/512GB/14"" OLED 2.8K/GeForce RTX3050 4GB/Win11",(No.00879631),32.990.000,Intel Core i9 13900H,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce RTX 3050 4GB
"Laptop MSI Modern 14 C12MO-660VN i5 1235U/16GB/512GB/14""FHD/Win11",(No.00884855),13.590.000,Intel Core i5 1235U,16  DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop HP Pavilion 15-eg2063TX i5 1235U/8GB/512GB/15.6''FHD/NVIDIA MX550 2GB/Win11,(No.00884158),17.990.000,Intel Core i5 1235U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,NVIDIA GeForce MX550 2GB; Intel Iris Xe Graphics
"Laptop MSI Modern 14 C11M-011VN i3 1115G4/8GB/512GB/14"" FHD/Win11",(No.00860753),10.690.000,Intel Core i3 1115G4,8  DDR4 3200 MHz,SSD 512,Intel UHD Graphics
"Laptop HP ProBook 440 G10 i7 1360P/16GB/512GB/14""FHD Touch/Win11",(No.00888666),24.990.000,Intel Core i7 1360P,16,SSD 512,Intel UHD Graphics
"Laptop MSI Gaming Katana 15 B13VFK-676VN i7 13620H/16GB/1TB/Geforce RTX 4060 8GB/15.6""FHD/Win11 - Balo",(No.00863509),32.390.000,Intel Core i7 13620H,16  (2 thanh 8 ) DDR5 5200 MHz,SSD 1 TB,NVIDIA GeForce RTX 4060 8GB; Intel UHD Graphics
Laptop HP 240 G9 i5 1235U/8GB/512GB/14.0''FHD/Win11,(No.00862173),17.790.000,Intel Core i5 1235U,8  (1 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
"Laptop Lenovo ThinkPad E16 Gen 1 i5 1340P/16GB/512GB/16""WUXGA/Win 11",(No.00887569),21.990.000,Intel Core i5 1340P,16  (2 thanh 8 ) DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
Laptop Lenovo ThinkPad E14 Gen 4 i7-1255U/8GB/512GB/14.0FHD/Win11,(No.00890156),22.990.000,Intel Core i7 1255U,8  DDR4 3200 MHz,SSD 512,Intel Iris Xe Graphics
